headline,date,snippet,url
"Tech Giants’ Earnings, the Fed Meets and a Deadline on a Data-Sharing Deal",2016-01-25T00:00,"Apple, Microsoft and Amazon will announce their quarterly reports, the Fed will gather for the first time this year, and American and European negotiators have until Sunday to reach an agreement....",https://www.nytimes.com/2016/01/25/business/tech-giants-earnings-the-fed-meets-and-a-deadline-on-a-data-sharing-deal.html
Market Jumps as Tech Shares Climb and Japan Cuts Rate,2016-01-30T00:00,"Microsoft was up on strong earnings, helping the major indexes rise more than 2 percent. Japan’s central bank dropped interest rates below zero....",https://www.nytimes.com/2016/01/30/business/daily-stock-market-activity.html
Yellen’s Remarks Move Market to Year’s Highest Point,2016-03-30T00:00,"Apple and Microsoft led tech stocks higher, while energy companies fell along with the price of oil....",https://www.nytimes.com/2016/03/30/business/daily-stock-market-activity.html
Exxon Mobil’s Sterling Credit Is Downgraded by Standard &amp; Poor’s,2016-04-27T00:00,"The oil producer lost its AAA rating, leaving only two American companies with the highest rating: Microsoft and Johnson &amp; Johnson....",https://www.nytimes.com/2016/04/27/business/energy-environment/exxon-mobils-sterling-credit-is-downgraded-by-standard-poors.html
Nokia Phones May Find Life After Microsoft,2016-05-19T00:00,"Foxconn, the Taiwanese technology giant, and HMD Global, a Finnish company, have signed a licensing agreement to revive the brand....",https://www.nytimes.com/2016/05/19/business/international/nokia-microsoft-foxconn-android.html
One Unspoken Reason Behind the Microsoft-LinkedIn Deal,2016-06-14T00:00,"LinkedIn’s struggling stock price, and its reliance on stock-based compensation may be a factor in its sale to Microsoft....",https://www.nytimes.com/2016/06/14/business/dealbook/linkedin-stock-based-compensation.html
"For Microsoft, LinkedIn Deal Could Be a $26.2 Billion Time Machine",2016-06-14T00:00,"Microsoft’s extraordinarily generous takeover bid harks back to a time of higher technology valuations, but some analysts say there’s no going back....",https://www.nytimes.com/2016/06/14/business/dealbook/for-microsoft-linkedin-deal-could-be-a-26-2-billion-time-machine.html
Microsoft’s Deal for LinkedIn Raises Red Flags,2016-06-14T00:00,"The deal has a strategic logic, but its financial benefits are in short supply....",https://www.nytimes.com/2016/06/14/business/dealbook/microsofts-deal-for-linkedin-raises-red-flags.html
Handful of Advisers Behind Microsoft’s Deal for LinkedIn,2016-06-14T00:00,The deal will provide a windfall to Microsoft’s traditional advisers and to boutique investment banks on LinkedIn’s side....,https://www.nytimes.com/2016/06/14/business/dealbook/handful-of-advisers-behind-microsofts-deal-for-linkedin.html
Wall St. Closes Down Ahead of Fed Meeting,2016-06-14T00:00,LinkedIn shares soared and Microsoft stock fell after Microsoft agreed to buy the professional networking services firm for $26.2 billion....,https://www.nytimes.com/2016/06/14/business/daily-stock-market-activity.html
"Microsoft Buys LinkedIn for $26.2 Billion, Reasserting Its Muscle",2016-06-14T00:00,"The companies said that Microsoft would pay $196 a share to acquire LinkedIn, the business social network site....",https://www.nytimes.com/2016/06/14/business/dealbook/microsoft-to-buy-linkedin-for-26-2-billion.html
The First Big Company to Say It’s Serving the Legal Marijuana Trade? Microsoft.,2016-06-16T16:00,"As the marijuana industry grows inexorably more mainstream, an established company moves to enter the government compliance side of the business....",https://www.nytimes.com/2016/06/17/business/dealbook/microsoft-following-the-clouds-to-offer-marijuana-tracking-software.html
Microsoft-LinkedIn Deal Ignites Twitter Speculation,2016-06-17T00:00,"Wishful thinking among Twitter investors aside, there are not many obvious buyers for the social media network....",https://www.nytimes.com/2016/06/17/business/microsoft-linkedin-deal-ignites-twitter-speculation.html
Wall St. Gains as Earnings Cheer Traders,2016-07-21T00:00,"Shares of Microsoft, Intuitive Surgical and the uniform rental company Cintas rose for the day, with the tech sector leading the way....",https://www.nytimes.com/2016/07/21/business/daily-stock-market-activity.html
"In Buying LinkedIn, Microsoft Might Pay Heed to Monster",2016-08-10T04:00,"Monster Worldwide, a former competitor of LinkedIn, has been sold to Randstad Holding of the Netherlands for a fraction of its former value....",https://www.nytimes.com/2016/08/10/business/dealbook/in-buying-linkedin-microsoft-might-pay-heed-to-monster.html
Bill Gates Leads New Fund as Fears of U.S. Retreat on Climate Grow,2016-12-13T01:10,"The Microsoft co-founder has started a fund to invest in energy research to reduce the causes of climate change, work that would build on efforts that may be threatened by a Trump administration....",https://www.nytimes.com/2016/12/12/business/energy-environment/bill-gates-breakthrough-energy-ventures.html
"Microsoft’s Profit Rises 4 Percent, as Cloud Business Booms",2017-01-27T00:47,"Microsoft reported a quarterly profit of $5.2 billion, or 66 cents a share, compared with $5.02 billion, or 62 cents a share, a year earlier....",https://www.nytimes.com/2017/01/26/business/microsoft-q4-earnings.html
Business Giants to Announce Creation of a Computing System Based on Ethereum,2017-02-27T21:13,"An alliance of about 30 companies, including Microsoft and JPMorgan Chase, has plans to standardize data gathering and tracking with software that is seen as harder to hack....",https://www.nytimes.com/2017/02/27/business/dealbook/ethereum-alliance-business-banking-security.html
"Morning Agenda: Ethereum, Uber and Money Management Fees",2017-02-28T11:28,"Microsoft, JPMorgan Chase and other corporate giants are joining forces to create a computing system based on a virtual currency network, Ethereum....",https://www.nytimes.com/2017/02/28/business/dealbook/blockchain-uber-hedge-funds.html
Miscue Calls Attention to Amazon’s Dominance in Cloud Computing,2017-03-12T23:30,A rare service breakdown has provided an opportunity for rivals like Google and Microsoft to preach the benefits of working with multiple providers....,https://www.nytimes.com/2017/03/12/business/amazon-web-services-outage-cloud-computing-technology.html
"Pamela Edstrom, Who Helped Shape Microsoft’s Public Image, Dies at 71",2017-04-01T02:23,"Ms. Edstrom, who joined Microsoft as its first director of public relations in 1982, became one of Bill Gates’s closest outside advisers....",https://www.nytimes.com/2017/03/31/business/obituary-pamela-edstrom-microsoft.html
Steve Ballmer Serves Up a Fascinating Data Trove,2017-04-18T01:03,A stealthy pet project by the former Microsoft chief lets you search and learn about how the government spends tax dollars....,https://www.nytimes.com/2017/04/17/business/dealbook/steve-ballmer-serves-up-a-fascinating-data-trove.html
Head Start at Video Game Jamboree; Fed Expected to Raise Interest Rate Again,2017-06-12T01:00,"Microsoft, Sony and Nintendo will show off new hardware and games in Los Angeles....",https://www.nytimes.com/2017/06/11/business/video-games-fed-interest-rates.html
"Move Over, Bill Gates. Jeff Bezos Gets a Turn as World’s Richest Person.",2017-07-27T13:59,"A bump in the price of Amazon shares was enough to move Mr. Bezos, briefly, above Mr. Gates, the Microsoft co-founder....",https://www.nytimes.com/2017/07/27/business/jeff-bezos-richest-man.html
Microsoft Shifts From Paying Outside Lawyers by the Hour,2017-08-03T15:50,The move could help spur more companies to abandon the billable hour method of charging for legal services.,https://www.nytimes.com/2017/08/03/business/dealbook/paying-lawyers-by-hour-microsoft.html
The Tax Overhaul; Microsoft’s C.E.O. on Equality: DealBook Briefing,2017-09-27T11:03,President Trump and Congress are turning their legislative focus to a sweeping change of the tax code. A 20 percent corporate rate is among the proposals.,https://www.nytimes.com/2017/09/27/business/dealbook/donald-trump-tax-equifax-microsoft.html
Microsoft C.E.O. Says Tech’s Progress on Gender Equality Is ‘Not Sufficient’,2017-09-27T02:53,Satya Nadella said Silicon Valley had “a significant distance to cover” in offering equal opportunities for female workers.,https://www.nytimes.com/2017/09/26/business/satya-nadella-microsoft-gender-equality.html
