20140128†2:49PM UTC,Shareholders end push for Verizon data-sharing details,http://www.reuters.com/article/2014/01/28/us-verizon-surveillance-resolution-idUSBREA0R1IR20140128,,,
20140128†2:47PM UTC,UPDATE 1-Shareholders end push for Verizon data-sharing details,http://www.reuters.com/article/2014/01/28/verizon-surveillance-resolution-idUSL2N0L21HI20140128,,,
20140128†2:13PM UTC,CORRECTED-Shareholders withdraw demand Verizon reveal law enforcement links,http://www.reuters.com/article/2014/01/28/verizon-surveillance-resolution-urgent-c-idUSL2N0L21B620140128,,,
20140128†1:47PM UTC,CORRECTING and REPLACING Verizon Wireless Service Now Available In 35 New York City Subway Stations,http://www.reuters.com/article/2014/01/28/cqn-ny-transit-wireless-idUSnBw286215a+100+BSW20140128,,,
20140128†1:20PM UTC,"UPDATE 3-Vodafone, Verizon investors back $130 bln Verizon Wireless deal",http://www.reuters.com/article/2014/01/28/vodafone-verizon-idUSL5N0L231620140128,,,
20140128†10:48AM UTC,Verizon Shareholders Approve Issuance of Shares to Acquire Verizon Wireless,http://www.reuters.com/article/2014/01/28/verizon-shareholders-idUSnPnNYn0Zn7+164+PRN20140128,,,
20140128†9:00AM UTC,"Verizon Wireless Enhances 4G LTE Coverage in Berlin, Vermont",http://www.reuters.com/article/2014/01/28/vt-verizon-wireless-idUSnBw285890a+100+BSW20140128,,,
20140128†7:05AM UTC,Vodafone shareholders approve Verizon Wireless sale,http://www.reuters.com/article/2014/01/28/vodafone-verizon-idUSWLB006WN20140128,,,
20140129†9:15AM UTC,"Verizon Wireless Enhances 4G LTE Coverage in Falls Village, Connecticut",http://www.reuters.com/article/2014/01/29/ct-verizon-wireless-idUSnBw295755a+100+BSW20140129,,,
20140129†8:30AM UTC,Verizon Teams With PRIVO to Enable Identity Pilot to Protect Online Activities of Millions of Children,http://www.reuters.com/article/2014/01/29/verizon-privo-team-up-idUSnPnNYnknhY+161+PRN20140129,,,
20140130†2:24PM UTC,"More Venango County, Pa. Residents Can Experience 4G LTE with Verizon Wireless Expansion",http://www.reuters.com/article/2014/01/30/pa-verizon-4g-lte-idUSnPnCLnPqwn+168+PRN20140130,,,
20140130†12:26PM UTC,Fitch Rates Verizon Communications' Proposed Note Offering 'A-'; Outlook Stable,http://www.reuters.com/article/2014/01/30/ny-fitch-ratings-verizon-idUSnBw306076a+100+BSW20140130,,,
20140130†11:00AM UTC,"CINEMOI SAYS Beinvenue!"" ""Benvenuto!"" ""Bienvenido!"" ""Welcome", Welcome," Welcome"" To the Relaunch of Cinemoi On Verizon Channel 236""",http://www.reuters.com/article/2014/01/30/cinemoi-channel-idUSnPnLAnDFp8+16c+PRN20140130,
20140131†9:30AM UTC,"Zacks Earnings Trends Highlights: Bank of America, Verizon and Travelers",http://www.reuters.com/article/2014/01/31/zacks-earnings-trends-idUSnPnCGnXNkT+16d+PRN20140131,,,
20140131†9:30AM UTC,"The Zacks Analyst Blog Highlights:Sprint, T-Mobile, AT&T;, Verizon Communications and Vodafone",http://www.reuters.com/article/2014/01/31/il-zacks-investments-idUSnPnCGnXKkT+16d+PRN20140131,,,
20140203†2:34PM UTC,"Verizon FiOS to Bring Customers NBCUniversal's Coverage of 2014 Olympic Winter Games from Sochi, Russia, February 6-23",http://www.reuters.com/article/2014/02/03/verizon-fios-olympics-idUSnPnNYpnTwz+164+PRN20140203,,,
20140203†2:14PM UTC,"More Toledo, Ohio, Residents Can Experience 4G LTE with Verizon Wireless Expansion",http://www.reuters.com/article/2014/02/03/oh-verizon-wireless-idUSnPnCLpn9wb+160+PRN20140203,,,
20140203†2:02PM UTC,"More Centre County, Pa. Residents Can Experience 4G LTE with Verizon Wireless Expansion",http://www.reuters.com/article/2014/02/03/pa-verizon-4g-expands-idUSnPnCLpmsvY+161+PRN20140203,,,
20140203†1:40PM UTC,"More Ellwood City, Pa. Residents Can Experience 4G LTE with Verizon Wireless Expansion",http://www.reuters.com/article/2014/02/03/verizon-4g-in-ellwood-idUSnPnCLplZtM+165+PRN20140203,,,
20140203†9:30AM UTC,"The Zacks Analyst Blog Highlights:Comcast, Time Warner Cable, Verizon Communications, AT&T; and Caterpillar",http://www.reuters.com/article/2014/02/03/zacks-equity-research-idUSnPnCGpd5kT+161+PRN20140203,,,
20140204†5:47PM UTC,Resaca Middle School Student Team Named Best in Region in Second Verizon Innovative App Challenge,http://www.reuters.com/article/2014/02/04/verizon-wireless-app-idUSnPnDApSSDB+16f+PRN20140204,,,
20140204†5:34PM UTC,North Hills Preparatory Student Team Named Best in Region in Second Verizon Innovative App Challenge,http://www.reuters.com/article/2014/02/04/tx-verizon-wireless-idUSnPnDApSLDk+16e+PRN20140204,,,
20140204†4:09PM UTC,Verizon Wireless Made Significant Network Investments Across Alabama In 2013,http://www.reuters.com/article/2014/02/04/al-verizon-network-idUSnPnCLpQ5zX+169+PRN20140204,,,
20140204†10:52AM UTC,Verizon Wireless Customers Used 1.9 Terabytes of Data in Stadium at Super Bowl XLVIII,http://www.reuters.com/article/2014/02/04/nj-verizon-super-bowl-idUSnPnNYpFrnc+168+PRN20140204,,,
